Average annual temperatures - SSP2-4.5 - Absolute degrees F,,,,,,,,,,,,
GEOID,Historical 1986-2005,,,Next decades 2020-2039,,,Midcentury 2040-2059,,,End of century 2080-2099,,
,0.05,0.50,0.95,0.05,0.50,0.95,0.05,0.50,0.95,0.05,0.50,0.95
1,63.48,64.17,64.35,65.50,66.19,66.98,66.37,67.06,67.90,66.70,68.31,69.56
2,32.14,33.16,33.67,34.20,35.64,36.99,35.26,36.94,39.10,36.98,39.13,41.66
4,69.73,70.21,70.85,72.06,72.55,73.42,72.73,73.63,74.47,73.79,75.26,76.62
5,60.77,61.76,62.01,63.17,64.25,64.99,64.05,65.39,66.51,64.69,66.78,68.90
6,61.61,61.86,62.65,62.97,63.92,64.55,63.47,64.81,65.78,64.56,66.17,67.36
8,46.12,46.96,47.27,49.05,49.42,50.10,49.88,50.72,51.67,50.90,52.35,54.20
9,51.10,51.48,52.34,53.30,54.18,54.84,53.82,55.58,56.44,54.33,56.90,58.12
10,56.09,56.55,57.22,58.07,59.02,59.78,58.83,60.28,61.20,59.61,61.68,62.75
11,56.95,57.34,58.02,59.07,59.85,60.73,59.69,61.14,62.08,60.80,62.51,63.76
12,72.63,73.02,73.31,74.25,74.60,75.05,74.86,75.37,75.78,75.31,76.45,77.57
13,62.53,63.14,63.44,64.52,65.15,65.83,65.27,66.02,66.77,65.75,67.30,68.56
15,73.19,73.59,74.23,74.35,74.82,76.91,75.00,75.73,77.78,75.59,76.54,79.21
16,49.25,49.81,50.83,51.48,52.46,53.67,52.33,53.87,55.58,53.44,55.48,57.66
17,50.69,51.27,51.98,53.37,54.16,54.85,54.03,55.52,56.72,55.07,57.17,58.78
18,52.30,52.96,53.53,54.83,55.71,56.30,55.52,57.01,57.98,56.52,58.70,60.32
19,48.81,49.43,50.39,51.79,52.67,53.51,52.34,54.32,55.49,53.64,56.08,57.90
20,55.17,56.40,57.03,58.52,59.44,60.15,59.04,60.76,61.93,60.18,62.09,64.14
21,56.53,57.32,57.51,58.97,59.69,60.42,59.64,60.86,61.85,60.40,62.34,64.05
